timestamp,driver,car_number,speed_kph,engine_rpm,gear,throttle,brake,steering_angle,lap_distance
2025-03-28T21:18:38.764455,Max Verstappen,5,105.48,10771,4,38.66,0.33,-72.79,3085.76
2025-03-15T00:13:38.884182,George Russell,18,116.53,8626,7,64.62,57.11,-83.53,1020.33
2025-03-07T12:54:07.750901,Sergio Perez,11,349.78,13017,1,57.97,77.05,87.88,4222.71
2025-02-03T03:14:13.826808,Lando Norris,6,242.98,9195,3,33.41,5.4,-77.2,3697.17
2025-01-22T02:24:31.734753,Carlos Sainz,5,250.87,10632,4,36.26,78.41,-77.14,603.04
2025-02-17T14:51:48.442887,Sebastian Vettel,5,172.18,10776,4,98.66,34.56,39.59,3000.68
2025-03-17T08:57:54.565240,Sebastian Vettel,1,151.88,11269,6,46.58,75.55,-83.79,2579.75
2025-01-23T09:40:12.808318,Sergio Perez,14,151.54,14906,5,47.16,76.97,-51.12,183.65
2025-04-19T19:03:04.733301,Daniel Ricciardo,18,313.53,13633,3,55.23,95.91,75.41,1040.83
2025-01-24T01:42:50.203078,George Russell,16,336.64,8855,5,34.72,60.82,-19.8,4703.23
2025-03-10T15:24:06.677465,Max Verstappen,14,202.18,13265,5,69.46,39.59,20.02,4786.74
2025-01-07T11:20:49.233226,Sebastian Vettel,9,208.48,8467,6,13.19,52.01,-43.03,1983.18
2025-02-14T17:24:56.240255,Fernando Alonso,16,312.42,14616,1,3.73,95.87,-0.44,1018.69
2025-01-22T11:50:36.029976,Carlos Sainz,20,227.2,12972,7,79.92,98.71,4.8,967.86
2025-03-22T12:59:03.329984,Charles Leclerc,16,336.05,9244,3,79.74,3.49,69.45,4912.89
2025-03-06T08:25:11.583939,Charles Leclerc,12,195.62,9385,4,60.89,47.76,-87.82,645.93
2025-04-01T17:58:56.177218,Max Verstappen,15,177.11,8501,8,88.67,13.74,16.7,4420.83
2025-02-05T10:22:35.723869,Sergio Perez,10,293.87,8979,6,71.46,22.26,42.69,1125.85
2025-03-20T02:58:24.892998,Fernando Alonso,8,308.69,9310,7,32.65,90.06,-23.54,272.48
2025-04-22T13:38:29.927719,Max Verstappen,14,105.46,12695,3,87.41,17.93,-21.67,3929.61
2025-04-22T07:51:09.647183,Sergio Perez,6,262.75,8905,5,12.97,6.39,57.93,1408.27
2025-01-16T10:36:11.766061,Daniel Ricciardo,12,243.54,14420,4,97.21,10.17,4.96,512.76
2025-04-04T12:51:41.100655,Daniel Ricciardo,4,332.59,8713,1,24.04,4.86,-71.82,3708.57
2025-01-10T03:52:37.635920,Max Verstappen,3,136.41,13361,8,65.23,20.2,-86.83,4298.47
2025-02-15T21:00:32.992959,Max Verstappen,16,295.19,9923,3,21.02,12.0,-6.29,2029.37
2025-03-18T05:55:40.926883,Max Verstappen,20,183.49,9993,2,50.22,68.42,-43.38,3503.04
2025-01-11T01:21:20.929172,Max Verstappen,16,316.49,14351,2,48.25,76.93,-43.73,3135.97
2025-04-20T09:25:48.802626,Lewis Hamilton,1,300.29,9041,8,58.05,72.08,-41.06,1275.97
2025-02-20T18:35:20.450943,Lewis Hamilton,17,243.54,14313,4,41.98,76.53,-30.54,870.31
2025-01-14T21:11:46.027536,Carlos Sainz,15,130.9,8027,8,42.3,36.65,-57.01,1244.72
2025-02-25T04:04:19.009278,Daniel Ricciardo,17,318.71,9180,7,61.96,0.25,13.0,4488.63
2025-04-17T14:18:56.263278,Fernando Alonso,18,280.44,14516,2,78.83,72.51,61.48,492.33
2025-04-08T13:18:49.287144,Carlos Sainz,3,130.17,13012,2,25.42,97.28,-25.34,1010.92
2025-02-11T22:32:06.105104,Sebastian Vettel,2,160.62,9042,2,6.94,53.8,-43.49,4429.78
2025-01-04T14:32:38.164619,Lewis Hamilton,12,178.1,14079,3,84.8,16.97,34.24,3712.27
2025-02-28T23:12:47.395776,Carlos Sainz,18,331.53,12661,1,3.97,65.97,71.85,4576.38
2025-01-07T00:37:52.994553,Charles Leclerc,1,317.35,8634,2,83.15,68.4,78.15,133.65
2025-03-28T18:47:04.987174,Charles Leclerc,6,284.36,9915,2,40.11,1.92,-26.42,1617.8
2025-03-03T02:31:34.041058,Fernando Alonso,5,141.33,9035,5,50.8,91.27,-1.38,1167.74
